	DECLARANT	DECLARANT_ISO	PARTNER	PARTNER_ISO	PRODUCT_HS	FLOW	TRANSPORT_MODE	PERIOD	VALUE_IN_EUROS	QUANTITY_IN_KG
53297	1	FR	73	BY	321511	2	4	201952	148	6
53298	1	FR	73	BY	321519	2	4	201952	12827	148
53299	1	FR	73	BY	321590	2	3	201952	1884	60
53300	1	FR	73	BY	321590	2	4	201952	32	0
53301	1	FR	73	BY	32SSS5	2	3	201952	97037	2588
53302	1	FR	73	BY	32SSS5	2	4	201952	599	14
53303	1	FR	73	BY	330190	2	3	201952	2718	155
53304	1	FR	73	BY	330210	2	3	201952	5920160	411862
53305	1	FR	73	BY	330210	2	4	201952	16864	310
53306	1	FR	73	BY	330290	2	1	201952	11306	270
53307	1	FR	73	BY	330290	2	3	201952	826105	35035
53308	1	FR	73	BY	330290	2	4	201952	1337	60
53309	1	FR	73	BY	330300	2	1	201952	18064	1631
53310	1	FR	73	BY	330300	2	3	201952	666519	17546
53311	1	FR	73	BY	330410	2	3	201952	86017	249
53312	1	FR	73	BY	330420	2	3	201952	78101	279
53313	1	FR	73	BY	330430	2	3	201952	23516	266
53314	1	FR	73	BY	330491	2	3	201952	24800	96
53315	1	FR	73	BY	330499	1	0	201952	48	2
53316	1	FR	73	BY	330499	1	3	201952	290	3
53317	1	FR	73	BY	330499	1	4	201952	84	0
53318	1	FR	73	BY	330499	2	0	201952	29	6
53319	1	FR	73	BY	330499	2	1	201952	7300	322
53320	1	FR	73	BY	330499	2	3	201952	2802869	140927
53321	1	FR	73	BY	330499	2	4	201952	543987	9179
53322	1	FR	73	BY	330510	2	3	201952	151178	32269
53323	1	FR	73	BY	330590	1	3	201952	562	3
53324	1	FR	73	BY	330590	2	3	201952	117246	11401
53325	1	FR	73	BY	330690	2	4	201952	5431	28
53326	1	FR	73	BY	330710	2	3	201952	15774	1571
53327	1	FR	73	BY	330720	2	3	201952	50756	3820
53328	1	FR	73	BY	330749	2	3	201952	192	0
53329	1	FR	73	BY	330790	1	3	201952	82	0
53330	1	FR	73	BY	330790	2	3	201952	1064	72
53331	1	FR	73	BY	340111	2	3	201952	7007	864
53332	1	FR	73	BY	340119	2	4	201952	14436	400
53333	1	FR	73	BY	340120	2	3	201952	3915	831
53334	1	FR	73	BY	340130	2	3	201952	282637	80492
53335	1	FR	73	BY	340211	2	3	201952	38972	33875
53336	1	FR	73	BY	340212	2	3	201952	5315	210
53337	1	FR	73	BY	340213	2	3	201952	353061	86724
53338	1	FR	73	BY	340213	2	4	201952	4638	3264
53339	1	FR	73	BY	340219	2	3	201952	12015	7200
53340	1	FR	73	BY	340220	2	3	201952	172	0
53341	1	FR	73	BY	340220	2	4	201952	228	0
53342	1	FR	73	BY	340290	2	3	201952	355089	184311
53343	1	FR	73	BY	340319	2	3	201952	170254	55835
53344	1	FR	73	BY	340391	2	3	201952	231	110
53345	1	FR	73	BY	340399	1	3	201952	45	5
53346	1	FR	73	BY	340399	2	3	201952	89021	23078
53347	1	FR	73	BY	340399	2	4	201952	170	1
53348	1	FR	73	BY	340490	2	3	201952	81	60
53349	1	FR	73	BY	340530	2	3	201952	811	5
53350	1	FR	73	BY	340590	2	3	201952	16480	640
53351	1	FR	73	BY	350211	2	3	201952	145600	24000
53352	1	FR	73	BY	350400	2	3	201952	1395552	107700
53353	1	FR	73	BY	350691	2	3	201952	20281	4401
53354	1	FR	73	BY	350790	2	3	201952	62713	11760
53355	1	FR	73	BY	370130	2	3	201952	720	30
53356	1	FR	73	BY	370130	2	4	201952	1502	30
53357	1	FR	73	BY	380190	2	3	201952	20	30
53358	1	FR	73	BY	380210	2	3	201952	681	12
53359	1	FR	73	BY	380861	2	4	201952	2	1
53360	1	FR	73	BY	380862	2	3	201952	37652	2680
53361	1	FR	73	BY	380891	2	3	201952	457037	18546
53362	1	FR	73	BY	380891	2	4	201952	4	1
53363	1	FR	73	BY	380892	2	3	201952	1561307	72477
53364	1	FR	73	BY	380892	2	4	201952	3	0
53365	1	FR	73	BY	380893	2	3	201952	2737492	223895
53366	1	FR	73	BY	380894	2	3	201952	1366	24
53367	1	FR	73	BY	380894	2	4	201952	332	1
53368	1	FR	73	BY	380899	2	4	201952	165	52
53369	1	FR	73	BY	380993	2	3	201952	155008	105005
53370	1	FR	73	BY	381090	2	3	201952	5503	745
53371	1	FR	73	BY	381121	2	3	201952	71861	22320
53372	1	FR	73	BY	381190	2	3	201952	13769	595
53373	1	FR	73	BY	381400	1	3	201952	266	49
53374	1	FR	73	BY	381400	2	3	201952	18	2
53375	1	FR	73	BY	381511	2	3	201952	4807637	421900
53376	1	FR	73	BY	381512	2	3	201952	489	9
53377	1	FR	73	BY	381600	2	3	201952	63872	21725
53378	1	FR	73	BY	381800	1	4	201952	18018	36
53379	1	FR	73	BY	381900	2	3	201952	3437	1585
53380	1	FR	73	BY	382000	2	3	201952	32572	24402
53381	1	FR	73	BY	382100	2	3	201952	68538	812
53382	1	FR	73	BY	382200	1	4	201952	366	5
53383	1	FR	73	BY	382200	2	3	201952	93536	34023
53384	1	FR	73	BY	382200	2	4	201952	92229	425
53385	1	FR	73	BY	382430	2	3	201952	239198	3324
53386	1	FR	73	BY	382499	2	1	201952	7018	260
53387	1	FR	73	BY	382499	2	3	201952	4529267	281037
53388	1	FR	73	BY	382499	2	4	201952	95157	1225
53389	1	FR	73	BY	382590	1	3	201952	12660	54126
53390	1	FR	73	BY	38SSS5	2	3	201952	31350	62700
53391	1	FR	73	BY	390110	1	3	201952	226	0
53392	1	FR	73	BY	390110	2	3	201952	39254	50400
53393	1	FR	73	BY	390130	2	3	201952	23841	13750
53394	1	FR	73	BY	390140	1	3	201952	304	81
53395	1	FR	73	BY	390140	2	3	201952	145445	132000
53396	1	FR	73	BY	390190	2	3	201952	96601	28875
53397	1	FR	73	BY	390319	2	3	201952	518032	396000
53398	1	FR	73	BY	390319	2	4	201952	1104	2000
53399	1	FR	73	BY	390390	2	3	201952	1273230	1638700
53400	1	FR	73	BY	390410	2	3	201952	59823	62985
53401	1	FR	73	BY	390422	2	3	201952	97	25
53402	1	FR	73	BY	390521	1	3	201952	37	0
53403	1	FR	73	BY	390521	2	1	201952	43421	37880
53404	1	FR	73	BY	390521	2	3	201952	41876	38840
